servo1, servo2, x, y
1138.00 1800.00 -336.0 330.0
1138.00 1650.00 -173.0 335.0
1138.00 1500.00 -10.0 337.0
1138.00 1350.00 156.0 338.0
1138.00 1200.00 323.0 336.0
1275.00 1200.00 323.0 197.0
1275.00 1200.00 323.0 197.0
1275.00 1350.00 155.0 199.0
1275.00 1500.00 -12.0 200.0
1275.00 1650.00 -176.0 199.0
1275.00 1800.00 -343.0 196.0
1413.00 1800.00 -346.0 75.0
1413.00 1800.00 -346.0 75.0
1413.00 1650.00 -180.0 74.0
1413.00 1500.00 -14.0 73.0
1413.00 1350.00 155.0 71.0
1413.00 1200.00 324.0 70.0
1550.00 1200.00 321.0 -53.0
1550.00 1200.00 322.0 -53.0
1550.00 1350.00 153.0 -55.0
1550.00 1500.00 -14.0 -54.0
1550.00 1650.00 -178.0 -51.0
1550.00 1800.00 -344.0 -46.0
1688.00 1800.00 -336.0 -174.0
1688.00 1800.00 -336.0 -174.0
1688.00 1650.00 -175.0 -182.0
1688.00 1500.00 -13.0 -187.0
1688.00 1350.00 150.0 -189.0
1688.00 1200.00 316.0 -189.0
